"Error while creating image","Error saat membuat gambar"
"Image not exists or invalid","Gambar tidak ada atau tidak valid"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Konten ini membutuhkan Adobe Flash Player terbaru. <a href=""%s"">Dapatkan Flash</a>"
