"Currency","Mata Uang"
"Custom currency symbols were applied successfully.","Mata Uang simbol were applied successfully."
"Manage Currency","Kelola Mata Uang"
"Manage Currency Rates","Kelola Mata Uang Rates"
"Rates","Rates"
"Save Currency Symbols","Simpan Mata Uang Simbol"
"Symbol","Simbol"
"Symbols","Simbol"
"System","Sistem"
"Use Default","Gunakan Standar"
"Use Standard","Gunakan Standar"
"Use Website","Gunakan Situs"
